validatorAddress,q1,q3,median,min,max,avg,totalCount,q1_7,q3_7,median_7,min_7,max_7,avg_7,totalCount_7,q1_30,q3_30,median_30,min_30,max_30,avg_30,totalCount_30,q1_90,q3_90,median_90,min_90,max_90,avg_90,totalCount_90
osmovaloper12zwq8pcmmgwsl95rueqsf65avfg5zcj047ucw6,985,1104,1038,809,4063,1172.0991637666857,96265,891,1055,969,788,4731,1178.910059786847,7694,906,1054,985,791,4674,1145.199548979704,36362,985,1104,1038,809,4063,1172.0991637666857,96265
osmovaloper1cyw4vw20el8e7ez8080md0r8psg25n0cq98a9n,990,1112,1040,813,4147,1188.8165748281074,82028,894,1065,974,789,4884,1184.7512585134734,6754,911,1063,991,793,4713,1164.1980242948896,28648,990,1112,1040,813,4147,1188.8165748281074,82028
osmovaloper1n3mhyp9fvcmuu8l0q8qvjy07x0rql8q4d3kvts,1002,1117,1049,817,4306,1200.1545986089172,36087,889,1057.5,975,784,4974,1174.7091653865848,1953,908,1061,990,788,4918,1160.8189357290946,8682,1002,1117,1049,817,4306,1200.1545986089172,36087
osmovaloper1et77usu8q2hargvyusl4qzryev8x8t9weceqyk,987,1108,1037,813,4033,1193.0989559918078,60057,894,1063,974,786,4791,1210.6486168334313,5097,912,1065,992,797,4662,1173.161190738699,22675,987,1108,1037,813,4033,1193.0989559918078,60057
osmovaloper1gp957czryfgyvxwn3tfnyy2f0t9g2p4phpkatp,997,1114,1045,813,4047,1191.8727395803114,144774,889,1054,969,787,4772,1183.3124057315233,10608,907,1059,988,790,4663,1160.9094214212428,44834,997,1114,1045,813,4047,1191.8727395803114,144774
osmovaloper15czt5nhlnvayqq37xun9s9yus0d6y26d5jws45,991,1115,1043,811,4025,1191.0518626563914,128204,893,1058,971,788,4776,1190.4581406787997,10165,911,1062,989,792,4648,1167.995756111876,44299,991,1115,1043,811,4025,1191.0518626563914,128204
osmovaloper10ymws40tepmjcu3a2wuy266ddna4ktas0zuzm4,990,1110,1041,809,4264,1195.1597359967702,56969,890,1053,969,786,4920,1191.8587508276319,4531,907,1059,989,788,4898,1172.146165050982,19909,990,1110,1041,809,4264,1195.1597359967702,56969
osmovaloper1czsuul2n7252wcrvk9dvjcjg2qn2qcdd9ue74s,970,1101,1026,802,4154,1187.6587219067424,37509,893,1055,974,789,4803,1194.401630988787,4905,907,1061,990,791,4706,1165.073951954781,19107,970,1101,1026,802,4154,1187.6587219067424,37509
osmovaloper14kn0kk33szpwus9nh8n87fjel8djx0y0fhtak5,983,1108,1036,808,4084,1192.1291143811502,55385,891,1059,971,787,4760,1196.39444205084,4642,910,1065,990,792,4715,1178.4222459322486,22494,983,1108,1036,808,4084,1192.1291143811502,55385
osmovaloper1wlagucxdxvsmvj6330864x8q3vxz4x025rraa6,982,1109,1037,808,4093,1187.6333769320563,71103,895,1066,974,786,4812,1204.1531631520534,7208,907,1066,988,792,4712,1172.1360513055429,30562,982,1109,1037,808,4093,1187.6333769320563,71103
osmovaloper1u6jr0pztvsjpvx77rfzmtw49xwzu9kas05lk04,982,1108,1035,808,4108,1190.0582247908221,81151,889,1054,967,784,4759,1188.8523617075018,7918,905,1062,987,790,4691,1170.547014833885,32628,982,1108,1035,808,4108,1190.0582247908221,81151
osmovaloper17cp6fxccqxrpj4zc00w2c7u6y0umc2jajsyc5t,992,1113,1043,813,4133,1186.214582949733,135775,890,1049,969,788,4832,1164.6380628717077,9416,907,1058,987,792,4736,1151.6815365268092,43735,992,1113,1043,813,4133,1186.214582949733,135775
osmovaloper1l7hln0l79erqaw6jdfdwx0hkfmj3dp27gr77ja,982,1111,1037,806,4088,1188.144515882802,68124,889,1058,970,788,4823,1191.8802757456388,7108,901,1059,985,791,4677,1162.4413213561286,27608,982,1111,1037,806,4088,1188.144515882802,68124
osmovaloper1x20lytyf6zkcrv5edpkfkn8sz578qg5s833swz,1002,1110,1047,823,4254,1173.8866122770962,96342,892,1046.5,968,787,4646,1145.1533757961784,3925,914,1054,990,791,4280,1124.279442074486,20863,1002,1110,1047,823,4254,1173.8866122770962,96342
osmovaloper1xvl4vrlh3epl7desfnqydt4tvexl380ue86syc,988,1111,1039,809,4127,1193.336608564712,92309,891,1061,974,788,4790,1187.5436655948554,7775,909,1061,989,791,4732,1170.3254402487516,33447,988,1111,1039,809,4127,1193.336608564712,92309
osmovaloper17h2x3j7u44qkrq0sk8ul0r2qr440rwgjp38f93,992,1120,1044,810,4416,1219.7080503395925,10012,886,1076,980,788,5024,1231.6908665105386,854,914,1079,999,791,5027,1199.8369388858844,3698,992,1120,1044,810,4416,1219.7080503395925,10012
osmovaloper122yaxffys6rmv03nwwkmn3rvr5skzxl9lry2a5,1000,1122,1050,815,4043,1199.9504531010946,16994,895,1058,979,795,4815,1202.6638888888888,1080,912,1074,994,793,4700,1185.2524931041798,4713,1000,1122,1050,815,4043,1199.9504531010946,16994
osmovaloper1gr73xk8gmn3gdyx4cqf5s4hmkxwcgkq8lx8xwv,993,1114,1044,810,4248,1188.9560269678361,23287,894,1059,973,793,5003,1182.6411092985318,1839,909,1062,990,793,4911,1154.2226125422847,7686,993,1114,1044,810,4248,1188.9560269678361,23287
osmovaloper1xaz2yf5l0qcta60nlc9v4vzufz2r3swte7y8xd,977,1103,1030,806,4140,1187.8036433701175,45672,896,1069,979,789,4801,1191.8290047787243,4813,911,1066,991,792,4724,1167.7616642616642,20790,977,1103,1030,806,4140,1187.8036433701175,45672
osmovaloper1sjllsnramtg3ewxqwwrwjxfgc4n4ef9ua8h4lf,995,1116,1045,812,4101,1193.2397597290562,62596,892,1054,971,787,4801,1180.9844823764133,4511,908,1058.5,989,792,4736,1165.1328579375916,19773,995,1116,1045,812,4101,1193.2397597290562,62596
osmovaloper1nna7k5lywn99cd63elcfqm6p8c5c4qcu6ex2gp,983,1112,1039,806,4090,1191.5681006402335,44515,893,1065,976,787,4807,1203.915719892584,4841,904,1062,987,790,4714,1172.9874081279722,18504,983,1112,1039,806,4090,1191.5681006402335,44515
osmovaloper1f6wx6r7567wu5j4ysskshkmsrk29sme97x25ca,998,1123,1050,817,4108,1196.5893147188492,51716,897,1059,973,785,4792,1174.6482118294361,2908,916,1064,993,794,4670,1161.9487196323046,15230,998,1123,1050,817,4108,1196.5893147188492,51716
osmovaloper1juczud9nep06t0khghvm643hf9usw45r3jxhxn,969,1095,1022,799,4559,1186.7110982323964,3451,888,1052.5,978,787,4806,1201.5505617977528,445,915,1069.5,999,792,4691,1185.968123393316,1945,969,1095,1022,799,4559,1186.7110982323964,3451
osmovaloper1ej2es5fjztqjcd4pwa0zyvaevtjd2y5w37wr9t,995,1119,1045,812,4080,1195.207992146188,44819,891,1060,972,787,4817,1181.4977348233163,3311,911,1064,993,791,4745,1165.412406271302,14670,995,1119,1045,812,4080,1195.207992146188,44819
osmovaloper1xwazl8ftks4gn00y5x3c47auquc62ssuh8af89,980,1105,1033,810,4175,1190.4007955369875,39973,898,1059,977,791,4813,1200.0006801178872,4411,911,1063,991,794,4689,1176.5866822951552,17916,980,1105,1033,810,4175,1190.4007955369875,39973
osmovaloper1jxv0u20scum4trha72c7ltfgfqef6nscqx0u46,995,1111,1044,813,4211,1194.443662924388,73930,893,1066,977,787,4944,1216.538643533123,5072,908,1058,989,790,4857,1169.0387927127708,22066,995,1111,1044,813,4211,1194.443662924388,73930
osmovaloper12vmqh2phzwuavl50vyfhmcath5lecqxgsc3vdc,991,1117,1043,811,4096,1195.7740400951411,20601,900.5,1066.5,981,788,4839,1194.0109383995393,1737,913,1067,995,792,4755,1168.6837550806347,7627,991,1117,1043,811,4096,1195.7740400951411,20601
osmovaloper1ux0wrpy2gpeteahn8r95xjketyf0nn800ztng4,979,1106,1030,801,4572,1195.4639841925634,11134,893,1071,977,785,4847,1219.2267343485616,1182,914,1073.5,995,785,4682,1173.376582278481,5056,979,1106,1030,801,4572,1195.4639841925634,11134
osmovaloper15knxwwzq38lwe3e3rul8cpcew9n6u0gq7x38cj,981,1106,1034,806,4061,1188.6666522836617,46351,888,1063,973,788,4776,1199.4661861352554,4717,905,1062,990,791,4672,1170.9779632220668,20012,981,1106,1034,806,4061,1188.6666522836617,46351
osmovaloper1tf7wjthwt9mgywqvjdkj974rp5awzzm43ddhlp,996,1120,1047,812,4154,1199.8942320726583,29508,890,1062,975,792,4846,1220.9607007575758,2112,911,1067.5,992,793,4805,1183.2211885739302,9137,996,1120,1047,812,4154,1199.8942320726583,29508
osmovaloper1ehkfl7palwrh6w2hhr2yfrgrq8jetguct4ddyl,1013,1128,1058,828,4032,1201.2353732035235,21570,888,1049,966,784,4759,1132.9236902050113,878,916,1066,992,790,4616,1135.2278283485045,3845,1013,1128,1058,828,4032,1201.2353732035235,21570
osmovaloper1e8238v24qccht9mqc2w0r4luq462yxttfpaeam,995,1113,1043,815,4146,1194.5101717037603,88874,892,1060,973,788,4908,1198.773084658987,5469,912,1063,992,793,4821,1175.31737673528,27157,995,1113,1043,815,4146,1194.5101717037603,88874
osmovaloper16s96n9k9zztdgjy8q4qcxp4hn7ww98qk5wjn0s,990,1113,1041,810,4067,1193.1966565349544,46060,893,1059,972,787,4842,1201.5617136009587,3338,911,1063,990,791,4724,1164.3285408381769,16345,990,1113,1041,810,4067,1193.1966565349544,46060
osmovaloper125kjmvuv5sv7qct2t6wc99h3mp7hpyxw37dcgg,988,1112,1041,809,4066,1188.5390113408664,48409,888,1064.5,969,786,4687,1190.8216666666667,4200,907,1066,990,791,4688,1168.5390478294487,18106,988,1112,1041,809,4066,1188.5390113408664,48409
osmovaloper1tj76vuaqu23eex2v6vlqc93ytsselvama69re6,990,1113,1042,811,4107,1190.7906763633528,51289,893,1058,973,787,4790,1191.904579237593,4171,909,1063,990,791,4769,1161.8461709335259,18007,990,1113,1042,811,4107,1190.7906763633528,51289
osmovaloper10jm8fvdyqlj78w0j5nawc76wsn4pqmdxgzgh4c,994,1123,1052,810,4386,1194.544484831207,42093,892,1054,975,788,4922,1176.5255474452554,3425,906,1059,988,790,5012,1171.300102915952,14575,994,1123,1052,810,4386,1194.544484831207,42093
osmovaloper19v94c3z7ckarwsum76kaagma0wqsqhh54xucdk,990,1115,1043,808,4167,1192.8211830062382,21961,890,1056,970,780,4892,1173.5872061235648,1829,907,1067,991,791,4835,1166.525069637883,7898,990,1115,1043,808,4167,1192.8211830062382,21961
